DATE	DAY	MONTH	QUARTER	YEAR	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	NO. OF  TRADES
23 January 2026	Friday	January	Q1	2026	1401.80	1407.00	1381.00	1402.50	1387.00	1386.10	1391.32	1611.80	1114.85	9837802	263283
22 January 2026	Thursday	January	Q1	2026	1410.10	1419.50	1395.00	1404.60	1404.10	1402.50	1403.80	1611.80	1114.85	15721693	391641
21 January 2026	Wednesday	January	Q1	2026	1389.50	1412.90	1373.00	1394.00	1407.50	1404.60	1399.14	1611.80	1114.85	17352720	412452
20 January 2026	Tuesday	January	Q1	2026	1410.70	1416.00	1390.00	1413.60	1392.40	1394.00	1401.05	1611.80	1114.85	13189498	382470
19 January 2026	Monday	January	Q1	2026	1450.60	1450.60	1403.30	1457.90	1413.20	1413.60	1415.36	1611.80	1114.85	20392765	569720
16 January 2026	Friday	January	Q1	2026	1458.80	1480.00	1455.10	1458.80	1461.00	1457.90	1464.15	1611.80	1114.85	17167161	289037
14 January 2026	Wednesday	January	Q1	2026	1444.00	1467.00	1440.20	1452.80	1458.80	1458.80	1458.22	1611.80	1114.85	8321764	167816
13 January 2026	Tuesday	January	Q1	2026	1485.00	1485.80	1444.70	1483.20	1456.90	1452.80	1457.67	1611.80	1114.85	13499760	289198
12 January 2026	Monday	January	Q1	2026	1475.30	1485.30	1451.00	1475.30	1484.00	1483.20	1469.79	1611.80	1114.85	8883745	236827
09 January 2026	Friday	January	Q1	2026	1465.00	1479.90	1465.00	1470.60	1476.00	1475.30	1472.13	1611.80	1114.85	8335311	237412
08 January 2026	Thursday	January	Q1	2026	1500.00	1503.90	1468.80	1504.20	1470.70	1470.60	1477.72	1611.80	1114.85	16518684	443727
07 January 2026	Wednesday	January	Q1	2026	1510.00	1520.00	1498.00	1507.60	1505.10	1504.20	1506.81	1611.80	1114.85	11199340	302077
06 January 2026	Tuesday	January	Q1	2026	1569.00	1569.00	1496.30	1578.10	1508.90	1507.60	1516.17	1611.80	1114.85	27417125	583917
05 January 2026	Monday	January	Q1	2026	1593.00	1611.80	1575.30	1592.30	1577.00	1578.10	1589.36	1611.80	1114.85	8704973	227204
02 January 2026	Friday	January	Q1	2026	1580.00	1594.60	1578.20	1575.60	1593.00	1592.30	1589.16	1594.60	1114.85	6602230	156023
01 January 2026	Thursday	January	Q1	2026	1573.70	1592.50	1571.10	1570.40	1572.90	1575.60	1578.67	1592.50	1114.85	6408128	134062
31 December 2025	Wednesday	December	Q4	2025	1541.00	1577.00	1541.00	1539.80	1569.00	1570.40	1566.86	1581.30	1114.85	5771830	141792
30 December 2025	Tuesday	December	Q4	2025	1547.00	1553.60	1537.80	1545.60	1541.00	1539.80	1543.21	1581.30	1114.85	8815884	199428
29 December 2025	Monday	December	Q4	2025	1554.90	1558.10	1543.60	1559.20	1546.70	1545.60	1547.80	1581.30	1114.85	5972105	158162
26 December 2025	Friday	December	Q4	2025	1554.70	1561.00	1554.30	1558.20	1560.00	1559.20	1558.05	1581.30	1114.85	2311495	81976
24 December 2025	Wednesday	December	Q4	2025	1572.70	1575.70	1553.60	1570.70	1560.60	1558.20	1559.55	1581.30	1114.85	8815745	243970
23 December 2025	Tuesday	December	Q4	2025	1580.90	1580.90	1568.10	1575.40	1569.00	1570.70	1573.01	1581.30	1114.85	7506564	179265
22 December 2025	Monday	December	Q4	2025	1573.50	1577.50	1565.30	1565.10	1577.00	1575.40	1571.96	1581.30	1114.85	10184852	371017
19 December 2025	Friday	December	Q4	2025	1554.40	1574.20	1551.00	1544.40	1564.90	1565.10	1566.60	1581.30	1114.85	13937275	279233
18 December 2025	Thursday	December	Q4	2025	1535.20	1551.50	1535.20	1544.40	1543.50	1544.40	1545.30	1581.30	1114.85	6580829	175814
17 December 2025	Wednesday	December	Q4	2025	1550.00	1550.00	1539.30	1542.30	1545.10	1544.40	1544.14	1581.30	1114.85	7116649	176852
16 December 2025	Tuesday	December	Q4	2025	1545.00	1551.70	1538.80	1556.20	1540.70	1542.30	1544.30	1581.30	1114.85	11731856	246980
15 December 2025	Monday	December	Q4	2025	1551.20	1558.60	1546.50	1556.50	1557.00	1556.20	1553.69	1581.30	1114.85	5774543	185872
12 December 2025	Friday	December	Q4	2025	1550.80	1559.80	1546.10	1545.00	1554.30	1556.50	1555.21	1581.30	1114.85	5106655	139702
11 December 2025	Thursday	December	Q4	2025	1536.90	1550.00	1524.00	1536.90	1543.00	1545.00	1540.61	1581.30	1114.85	4706197	168155
10 December 2025	Wednesday	December	Q4	2025	1534.00	1547.50	1531.40	1529.40	1533.50	1536.90	1539.72	1581.30	1114.85	7991629	202989
09 December 2025	Tuesday	December	Q4	2025	1540.30	1542.50	1520.10	1543.00	1532.40	1529.40	1530.00	1581.30	1114.85	11503971	205129
08 December 2025	Monday	December	Q4	2025	1539.20	1551.00	1535.00	1540.60	1539.90	1543.00	1540.71	1581.30	1114.85	11301491	182756
05 December 2025	Friday	December	Q4	2025	1530.40	1545.80	1520.60	1535.60	1544.60	1540.60	1534.80	1581.30	1114.85	10183266	181528
04 December 2025	Thursday	December	Q4	2025	1536.00	1560.50	1517.60	1538.80	1525.30	1535.60	1543.73	1581.30	1114.85	11867930	203260
03 December 2025	Wednesday	December	Q4	2025	1545.20	1552.40	1533.00	1546.30	1539.10	1538.80	1539.45	1581.30	1114.85	6090883	156721
02 December 2025	Tuesday	December	Q4	2025	1561.10	1567.50	1542.00	1566.10	1548.30	1546.30	1550.62	1581.30	1114.85	11389150	323713
01 December 2025	Monday	December	Q4	2025	1575.00	1577.50	1563.60	1567.50	1566.50	1566.10	1571.31	1581.30	1114.85	8920233	292601
28 November 2025	Friday	November	Q4	2025	1568.00	1581.30	1563.00	1563.40	1569.00	1567.50	1571.94	1581.30	1114.85	8959508	229373
27 November 2025	Thursday	November	Q4	2025	1575.00	1575.50	1556.00	1569.90	1564.80	1563.40	1563.68	1575.50	1114.85	9794643	278929
26 November 2025	Wednesday	November	Q4	2025	1542.30	1571.60	1540.50	1539.70	1569.60	1569.90	1562.98	1571.60	1114.85	14054299	285274
